Filename	AudioTag	Sentence
A1_A_good_nights_sleep_Line_0001.mp3	[sound:A1_A_good_nights_sleep_Line_0001.mp3]	At exam time, it is important to sleep well. Today we have Dr. Baker with us in the studio, and he is going to give us 5 top tips for getting a good night's sleep.
A1_A_good_nights_sleep_Line_0002.mp3	[sound:A1_A_good_nights_sleep_Line_0002.mp3]	Welcome to the show, Dr. Baker.
A1_A_good_nights_sleep_Line_0003.mp3	[sound:A1_A_good_nights_sleep_Line_0003.mp3]	Thank you. It's great to be here.
A1_A_good_nights_sleep_Line_0004.mp3	[sound:A1_A_good_nights_sleep_Line_0004.mp3]	Let's start with tip 1.
A1_A_good_nights_sleep_Line_0005.mp3	[sound:A1_A_good_nights_sleep_Line_0005.mp3]	Don't go to bed with the television on.
A1_A_good_nights_sleep_Line_0006.mp3	[sound:A1_A_good_nights_sleep_Line_0006.mp3]	Some people think they can sleep well with the TV on, but the noise and the lights mean you don't really sleep well.
A1_A_good_nights_sleep_Line_0007.mp3	[sound:A1_A_good_nights_sleep_Line_0007.mp3]	So turn it off. Tip 2.
A1_A_good_nights_sleep_Line_0008.mp3	[sound:A1_A_good_nights_sleep_Line_0008.mp3]	Tip 2: Don't think too much before bedtime.
A1_A_good_nights_sleep_Line_0009.mp3	[sound:A1_A_good_nights_sleep_Line_0009.mp3]	Do your hardest homework earlier in the evening. Do easier homework later. If your brain is too busy and full of ideas, it takes longer to get to sleep.
A1_A_good_nights_sleep_Line_0010.mp3	[sound:A1_A_good_nights_sleep_Line_0010.mp3]	Tip 3: Don't play video games for an hour before you go to sleep.
A1_A_good_nights_sleep_Line_0011.mp3	[sound:A1_A_good_nights_sleep_Line_0011.mp3]	They also make your brain too busy and active.
A1_A_good_nights_sleep_Line_0012.mp3	[sound:A1_A_good_nights_sleep_Line_0012.mp3]	Tip 4: Turn off your cell phone when you go to bed.
A1_A_good_nights_sleep_Line_0013.mp3	[sound:A1_A_good_nights_sleep_Line_0013.mp3]	What is so important that it can't wait until the morning? If possible, leave your phone in another room.
A1_A_good_nights_sleep_Line_0014.mp3	[sound:A1_A_good_nights_sleep_Line_0014.mp3]	Tip 5: Play music if you like, But don't play it too loud.
A1_A_good_nights_sleep_Line_0015.mp3	[sound:A1_A_good_nights_sleep_Line_0015.mp3]	Turn the sound down low.
A1_A_good_nights_sleep_Line_0016.mp3	[sound:A1_A_good_nights_sleep_Line_0016.mp3]	Thank you, Doctor. That is very useful advice for our young listeners.
A1_A_good_nights_sleep_Line_0017.mp3	[sound:A1_A_good_nights_sleep_Line_0017.mp3]	This recording was brought to you by the British Council.
A1_A_good_nights_sleep_Line_0018.mp3	[sound:A1_A_good_nights_sleep_Line_0018.mp3]	To find others like it, visit www.britishcouncil.org.
