agree,əˈɡriː,<ul><li>acordar</li><li>aceptar</li><li>estar de acuerdo</li><li>concordar</li><li>reconocer</li><li>asentir</li><li>convenir</li><li>llegar a un acuerdo</li><li>pactar</li><li>acceder</li><li>pactar</li><li>coincidir</li></ul>,"<img src=""01_0001.jpg"">",[sound:01_0001.mp3],[sound:01_0001_meaning.mp3],[sound:01_0001_example.mp3],To <i>agree</i> is to have the same opinion or belief as another person.,Estar de <i>acuerdo</i> es tener la misma opinión o creencia que otra persona.,The students <b>agree</b> they have too much homework.,Los estudiantes <b>están de acuerdo</b> en que tienen demasiada tarea.
alcohol,ˈælkəhɔːl,<ul><li><a>alcohol</a><br></li><li><a></a><a>alcohólico</a><br></li></ul>,"<img src=""01_0002.jpg"" />",[sound:01_0002.mp3],[sound:01_0002_meaning.mp3],[sound:01_0002_example.mp3],<i>Alcohol</i> is a type of drink that can make people drunk.,El <i>alcohol</i> es un tipo de bebida que puede embriagar a las personas.,A person should not drive a car after he or she has been drinking <b>alcohol</b>.,Una persona no debe conducir un coche después de haber bebido <b>alcohol</b>.
arrive,əˈraɪv,<ul><li><a>llegar</a><br></li><li><a></a><a>arribar</a><br></li><li><a></a><a>aterrizar</a><br></li></ul>,"<img src=""01_0003.jpg"" />",[sound:01_0003.mp3],[sound:01_0003_meaning.mp3],[sound:01_0003_example.mp3],To <i>arrive</i> is to get somewhere.,Llegar es <i>arribar</i> a algún lugar.,They <b>arrived</b> at school at 7 a.m.,Ellos <b>llegaron</b> a la escuela a las 7 a.m.
August,ɔ́ːgəst,<ul><li><a>augusto</a><br></li><li><a></a><a>prestigioso</a><br></li><li><a></a><a></a><a>agosto</a><br></li></ul>,"<img src=""01_0004.jpg"" />",[sound:01_0004.mp3],[sound:01_0004_meaning.mp3],[sound:01_0004_example.mp3],<i>August</i> is the eighth month of the year.,<i>Agosto</i> es el octavo mes del año.,Is your birthday in <b>August</b>?,¿Es tu cumpleaños en <b>agosto</b>?
boat,bəʊt,<ul><li>barco</li><li>embarcación</li><li>lancha</li><li>bote</li><li>barca</li><li>navío</li><li>buque</li><li>batel</li></ul>,"<img src=""01_0005.jpg"" />",[sound:01_0005.mp3],[sound:01_0005_meaning.mp3],[sound:01_0005_example.mp3],A <i>boat</i> is a vehicle that moves across water.,Un <i>barco</i> es un vehículo que se mueve por el agua.,There is a small <b>boat</b> on the lake.,Hay un pequeño <b>barco</b> en el lago.
breakfast,ˈbrekfəst,<ul><li><a>desayuno</a><br></li><li><a></a><a>desayunar</a><br></li></ul>,"<img src=""01_0006.jpg"" />",[sound:01_0006.mp3],[sound:01_0006_meaning.mp3],[sound:01_0006_example.mp3],<i>Breakfast</i> is the morning meal.,El <i>desayuno</i> es la comida de la mañana.,I ate eggs for <b>breakfast</b>.,Comí huevos para el <b>desayuno</b>.
camera,ˈkæmrə,<ul><li><a>cámara</a><br></li><li><a></a><a>máquina fotográfica</a><br></li></ul>,"<img src=""01_0007.jpg"" />",[sound:01_0007.mp3],[sound:01_0007_meaning.mp3],[sound:01_0007_example.mp3],A <i>camera</i> is a piece of equipment that takes pictures.,Una <i>cámara</i> es un equipo que toma fotos.,I brought my <b>camera</b> on my vacation.,Traje mi <b>cámara</b> en mis vacaciones.
capital,ˈkæpɪtl,<ul><li><a>capital</a><br></li><li>capitel</li><li>mayúscula</li><li>mayúsculo</li><li>estupendo</li><li>de muerte</li><li>importante</li><li>magnífico</li><li>primordial</li><li>excelente</li></ul>,"<img src=""01_0008.jpg"">",[sound:01_0008.mp3],[sound:01_0008_meaning.mp3],[sound:01_0008_example.mp3],A <i>capital</i> is a city where a country’s government is based.,Una <i>capital</i> es una ciudad donde se encuentra el gobierno de un país.,"The <b>capital</b> of the United States is Washington, D.C.","La <b>capital</b> de los Estados Unidos es Washington, D.C."
catch,kætʃ,<ul><li>atrapar</li><li>coger</li><li>captar</li><li>capturar</li><li>recoger</li><li>agarrar</li><li>contagiarse</li><li>alcanzar</li><li>contraer</li><li>sorprender</li><li>tomar</li><li>pillar</li><li>detectar</li><li>apresar</li><li>captura</li><li>pesca</li><li>truco</li></ul>,"<img src=""01_0009.jpg"" />",[sound:01_0009.mp3],[sound:01_0009_meaning.mp3],[sound:01_0009_example.mp3],To <i>catch</i> is to grab or get something.,<i>Atrapar</i> es agarrar o conseguir algo.,Did you <b>catch</b> the ball during the baseball game?,¿<b>Atrapaste</b> la pelota durante el juego de béisbol?
duck,dʌk,<div><ul><li>pato</li><li>eludir</li><li>agacharse</li></ul></div>,"<img src=""01_0010.jpg"" />",[sound:01_0010.mp3],[sound:01_0010_meaning.mp3],[sound:01_0010_example.mp3],A <i>duck</i> is a small water bird.,Un <i>pato</i> es un ave acuática pequeña.,People feed <b>ducks</b> at the lake.,La gente alimenta <b>patos</b> en el lago.
enjoy,ɪnˈdʒɔɪ,<ul><li>disfrutar</li><li>¡Que aproveche!</li><li>¡Buen provecho!</li><li>poseer</li><li>gozar</li><li>aprovechar</li><li>apreciar</li></ul>,"<img src=""01_0011.jpg"" />",[sound:01_0011.mp3],[sound:01_0011_meaning.mp3],[sound:01_0011_example.mp3],To <i>enjoy</i> is to like something.,<i>Disfrutar</i> es gustar de algo.,The woman <b>enjoys</b> riding her bicycle.,La mujer <b>disfruta</b> de andar en bicicleta.
invite,ɪnˈvaɪt,<div><ul><li>invitación</li><li>invitar</li><li>pedir</li><li>convidar</li><li>solicitar</li><li>convocar</li><li>rogar</li></ul></div>,"<img src=""01_0012.jpg"" />",[sound:01_0012.mp3],[sound:01_0012_meaning.mp3],[sound:01_0012_example.mp3],To <i>invite</i> is to ask someone to come to a place or event.,<i>Invitar</i> es pedirle a alguien que venga a un lugar o evento.,I will <b>invite</b> my friends to my birthday party.,Invitaré a mis amigos a mi fiesta de cumpleaños.
