[sound:A1_A_good_nights_sleep_Line_0001.mp3]	At exam time, it is important to sleep well.
[sound:A1_A_good_nights_sleep_Line_0002.mp3]	Today we have Dr. Baker with us in the studio, and he is going to give us five top tips for getting a good night's sleep.
[sound:A1_A_good_nights_sleep_Line_0003.mp3]	Welcome to the show, Dr. Baker.
[sound:A1_A_good_nights_sleep_Line_0004.mp3]	Thank you. It's great to be here.
[sound:A1_A_good_nights_sleep_Line_0005.mp3]	Let's start with tip one.
[sound:A1_A_good_nights_sleep_Line_0006.mp3]	Don't go to bed with the television on.
[sound:A1_A_good_nights_sleep_Line_0007.mp3]	Some people think they can sleep well with the TV on,
[sound:A1_A_good_nights_sleep_Line_0008.mp3]	but the noise and the lights mean you don't really sleep well.
[sound:A1_A_good_nights_sleep_Line_0009.mp3]	So turn it off.
[sound:A1_A_good_nights_sleep_Line_0010.mp3]	Tip two: Don't think too much before bedtime.
[sound:A1_A_good_nights_sleep_Line_0011.mp3]	Do your hardest homework earlier in the evening.
[sound:A1_A_good_nights_sleep_Line_0012.mp3]	Do easier homework later.
[sound:A1_A_good_nights_sleep_Line_0013.mp3]	If your brain is too busy and full of ideas, it takes longer to get to sleep.
[sound:A1_A_good_nights_sleep_Line_0014.mp3]	Tip three: Don't play video games for an hour before you go to sleep.
[sound:A1_A_good_nights_sleep_Line_0015.mp3]	They also make your brain too busy and active.
[sound:A1_A_good_nights_sleep_Line_0016.mp3]	Tip four: Turn off your cell phone when you go to bed.
[sound:A1_A_good_nights_sleep_Line_0017.mp3]	What is so important that it can't wait until the morning?
[sound:A1_A_good_nights_sleep_Line_0018.mp3]	If possible, leave your phone in another room.
[sound:A1_A_good_nights_sleep_Line_0019.mp3]	Tip five: Play music if you like.
[sound:A1_A_good_nights_sleep_Line_0020.mp3]	But don't play it too loud.
[sound:A1_A_good_nights_sleep_Line_0021.mp3]	Turn the sound down low.
[sound:A1_A_good_nights_sleep_Line_0022.mp3]	Thank you, Doctor.
[sound:A1_A_good_nights_sleep_Line_0023.mp3]	That is very useful advice for our young listeners.
[sound:A1_A_good_nights_sleep_Line_0024.mp3]	This recording was brought to you by the British Council.
[sound:A1_A_good_nights_sleep_Line_0025.mp3]	To find others like it, visit www.britishcouncil.org/ learnenglishteens.
