adverse,ədˈvɜːs,<ul><li>adverso</li><li>desfavorable</li><li>desfavorables</li><li>negativo</li><li>hostil</li><li>en contra</li><li>perjudicial</li><li>nocivo</li><li>pernicioso</li><li>contrario</li></ul>,"<img src=""01_3001.jpg"">",[sound:01_3001.mp3],[sound:01_3001_meaning.mp3],[sound:01_3001_example.mp3],"Something that has an <i>adverse</i> effect can be harmful, dangerous, or unfavorable.","Algo que tiene un efecto <i>adverso</i> puede ser dañino, peligroso o desfavorable.",I worry that the tornado will have an <b>adverse</b> effect on the farm.,Me preocupa que el tornado tenga un efecto <b>adverso</b> en la granja.
alternate,ˈɔːltərnət,<ul><li>alternativo</li><li>alterno</li><li>suplente</li><li>alternante</li><li>sustitutivo</li><li>alternar</li><li>sustituto</li><li>sustituta</li></ul>,"<img src=""01_3002.jpg"" />",[sound:01_3002.mp3],[sound:01_3002_meaning.mp3],[sound:01_3002_example.mp3],An <i>alternate</i> option is a different option.,Una opción <i>alternativa</i> es una opción diferente.,Taking the bus and driving to work are <b>alternate</b> ways to travel.,Tomar el autobús y conducir al trabajo son formas <b>alternativas</b> de viajar.
biodegradable,ˌbaɪəʊdɪˈɡreɪdəbl,<ul><li><a>biodegradables</a><br></li><li><a></a><a>biodegradable</a><br></li><li>biológicamente degradable</li></ul>,"<img src=""01_3003.jpg"" />",[sound:01_3003.mp3],[sound:01_3003_meaning.mp3],[sound:01_3003_example.mp3],Materials that are <i>biodegradable</i> break down naturally into substances that do not harm the environment.,Los materiales <i>biodegradables</i> se descomponen naturalmente en sustancias que no dañan el medio ambiente.,I use <b>biodegradable</b> compost to feed my garden.,Uso compost <b>biodegradable</b> para alimentar mi jardín.
boxed,bɑːkst,<ul><li>en caja</li><li>embalado</li><li>empaquetada</li></ul>,"<img src=""01_3004.jpg"" />",[sound:01_3004.mp3],[sound:01_3004_meaning.mp3],[sound:01_3004_example.mp3],"When something is <i>boxed</i>, it is inside a package.","Cuando algo está <i>empaquetado</i>, está dentro de un paquete.",Justine brought a <b>boxed</b> gift to the birthday party.,Justine trajo un regalo <b>empaquetado</b> a la fiesta de cumpleaños.
choke,tʃəʊk,<ul><li>obturador</li><li>cebador</li><li>reactancia</li><li>cierre</li><li>estárter</li><li>chupete</li><li>estrangular</li><li>ahogar</li><li>asfixiar</li><li>ahogarse</li><li>obstruir</li><li>taponar</li><li>atascar</li><li>tapar</li><li>congestionar</li><li>atragantarse</li><li>sofocar</li><li>asfixiarse</li></ul>,"<img src=""01_3005.jpg"" />",[sound:01_3005.mp3],[sound:01_3005_meaning.mp3],[sound:01_3005_example.mp3],"If you <i>choke</i> on something, it stops you from breathing.","Si te <i>atragantas</i> con algo, te impide respirar.",The gum Malinda swallowed made her <b>choke</b>.,El chicle que Malinda tragó la hizo <b>atragantarse</b>.
convenient,kənˈviːniənt,<ul><li><a>conveniente</a><br></li><li><a></a><a>convenientes</a><br></li><li>cómodo</li><li>adecuado</li><li>práctico</li><li>fácil</li><li>útil</li><li>oportuno</li><li>sencillo</li><li>idóneo</li><li>bien situado</li></ul>,"<img src=""01_3006.jpg"" />",[sound:01_3006.mp3],[sound:01_3006_meaning.mp3],[sound:01_3006_example.mp3],"When something is <i>convenient</i>, it saves you time or effort.","Cuando algo es <i>conveniente</i>, te ahorra tiempo o esfuerzo.",Walking through the park is a <b>convenient</b> way to exercise on the way to work.,Caminar por el parque es una forma <b>conveniente</b> de hacer ejercicio de camino al trabajo.
discard,dɪˈskɑːrd,<ul><li>descarte</li><li>desecho</li><li>desechar</li><li>descartar</li><li>descartarse</li><li>tirar</li></ul>,"<img src=""01_3007.jpg"" />",[sound:01_3007.mp3],[sound:01_3007_meaning.mp3],[sound:01_3007_example.mp3],To <i>discard</i> something is to throw it away.,<i>Descartar</i> algo es tirarlo a la basura.,"After repairing the window, <b>discard</b> any broken glass.","Después de reparar la ventana, <b>descarta</b> cualquier vidrio roto."
dolphin,ˈdɑːlfɪn,<ul><li>delfín</li></ul>,"<img src=""01_3008.jpg"" />",[sound:01_3008.mp3],[sound:01_3008_meaning.mp3],[sound:01_3008_example.mp3],A <i>dolphin</i> is a large sea mammal that breathes air.,Un <i>delfín</i> es un gran mamífero marino que respira aire.,Intelligent <b>dolphins</b> have learned to communicate with humans.,Los inteligentes <b>delfines</b> han aprendido a comunicarse con los humanos.
ecologically,ˌiːkəˈlɑːdʒɪkli,<ul><li>ecológicamente</li></ul>,"<img src=""01_3009.jpg"" />",[sound:01_3009.mp3],[sound:01_3009_meaning.mp3],[sound:01_3009_example.mp3],<i>Ecologically</i> means that something is done in a way that concerns living organisms and the environment.,<i>Ecológicamente</i> significa que algo se hace de una manera que concierne a los organismos vivos y el medio ambiente.,We planted our garden according to <b>ecologically</b> correct practices.,Plantamos nuestro jardín según prácticas <b>ecológicamente</b> correctas.
fatal,ˈfeɪtl,<ul><li><a>fatal</a><br></li><li><a></a><a>fatales</a><br></li><li>mortal</li><li>mortales</li><li>fatídico</li><li>letal</li><li>funesto</li><li>gravísimo</li><li>terrible</li></ul>,"<img src=""01_3010.jpg"" />",[sound:01_3010.mp3],[sound:01_3010_meaning.mp3],[sound:01_3010_example.mp3],Something that is <i>fatal</i> results in someone’s death.,Algo que es <i>fatal</i> resulta en la muerte de alguien.,Being shot by the attacker proved <b>fatal</b> to the victim.,Ser disparado por el atacante resultó <b>fatal</b> para la víctima.
